Actual,Acorales,Alismatales,Apiales,Arecales,Asparagales,Asterales,Boraginales,Brassicales,Canellales,Caryophyllales,Chloranthales,Commelinales,Cycadales,Dipsacales,Ericales,Fabales,Gentianales,Geraniales,Lamiales,Laurales,Liliales,Magnoliales,Malpighiales,Malvales,Myrtales,Pandanales,Pinales,Piperales,Poales,Proteales,Ranunculales,Rosales,Santalales,Sapindales,Saxifragales,Solanales,Vitales,Zingiberales
Acorales,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alismatales,0,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Apiales,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arecales,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagales,0,1,1,1,29,3,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,2
Asterales,0,0,1,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Boraginales,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brassicales,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canellales,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Caryophyllales,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloranthales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commelinales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycadales,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dipsacales,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ericales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Fabales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gentianales,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geraniales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamiales,0,0,1,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,93,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,2
Laurales,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliales,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,33,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Malpighiales,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Malvales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Myrtales,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,16,0,0,0,2,0,1,0,0,0,0,0,0,1
Pandanales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Piperales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,6,0,0,1,0,0,0,0,0,1
Proteales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ranunculales,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Rosales,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,28,0,0,0,0,0,1
Santalales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sapindales,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,15,0,0,0,0
Saxifragales,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Zingiberales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25
